datetime,mead total release,mead storage (ac-ft),powell storage (ac-ft),total storage (ac-ft)
1/1/2022,7021.91667,8918172.4,6702539.74,15620712.14
1/2/2022,9935.58333,8915830,6693948.42,15609778.42
1/3/2022,9623.08333,8918953.2,6679424.14,15598377.34
1/4/2022,11781.3333,8917391.6,6665577.51,15582969.11
1/5/2022,11212.6667,8915830,6650431.71,15566261.71
1/6/2022,10091.3333,8918953.2,6635306.35,15554259.55
1/7/2022,9663.33333,8920514.8,6622170.48,15542685.28
1/8/2022,7948.29167,8929117.6,6611017.15,15540134.75
1/9/2022,7673.29167,8938511.2,6602495.67,15541006.87
1/10/2022,10112,8942425.2,6588744,15531169.2
1/11/2022,9122.91667,8946339.2,6576316.7,15522655.9
1/12/2022,8210.33333,8951036,6565209.37,15516245.37
1/13/2022,8914.625,8954950,6551503.96,15506453.96
1/14/2022,8051.08333,8965131.8,6541724.82,15506856.62
1/15/2022,8941.91667,8967485.6,6531954.38,15499439.98
1/16/2022,9160.79167,8974547,6522192.63,15496739.63
1/17/2022,10683.4167,8975331.6,6509190.49,15484522.09
1/18/2022,11052.875,8976900.8,6495554.89,15472455.69
1/19/2022,12133.25,8972977.8,6481936.33,15454914.13
1/20/2022,12985.7083,8969054.8,6468334.82,15437389.62
1/21/2022,11514.6667,8971408.6,6456043.37,15427451.97
1/22/2022,11028.6667,8970624,6445057.59,15415681.59
1/23/2022,8804.79167,8976900.8,6433437.76,15410338.56
1/24/2022,10064.6667,8979254.6,6420541.52,15399796.12
1/25/2022,10106.625,8983177.6,6413455.18,15396632.78
1/26/2022,11979.0417,8982393,6399939.7,15382332.7
1/27/2022,12405,8981608.4,6389011.09,15370619.49
1/28/2022,13856.5417,8974547,6374243.09,15348790.09
1/29/2022,12284.0833,8972977.8,6361417.97,15334395.77
1/30/2022,11366.9583,8973762.4,6349888.58,15323650.98
1/31/2022,14696.4167,8969839.4,6335174.8,15305014.2
