Location,Result,Units,Datetime
Lake Mead Hoover Dam and Powerplant,19446,af,01/01/21
Lake Mead Hoover Dam and Powerplant,18237.1,af,01/02/21
Lake Mead Hoover Dam and Powerplant,21219.9,af,01/03/21
Lake Mead Hoover Dam and Powerplant,16446.1,af,01/04/21
Lake Mead Hoover Dam and Powerplant,18087.9,af,01/05/21
Lake Mead Hoover Dam and Powerplant,18610,af,01/06/21
Lake Mead Hoover Dam and Powerplant,17066,af,01/07/21
Lake Mead Hoover Dam and Powerplant,16843,af,01/08/21
Lake Mead Hoover Dam and Powerplant,15002.1,af,01/09/21
Lake Mead Hoover Dam and Powerplant,16608.9,af,01/10/21
Lake Mead Hoover Dam and Powerplant,18409.8,af,01/11/21
Lake Mead Hoover Dam and Powerplant,18570,af,01/12/21
Lake Mead Hoover Dam and Powerplant,18792.1,af,01/13/21
Lake Mead Hoover Dam and Powerplant,17860,af,01/14/21
Lake Mead Hoover Dam and Powerplant,15865.8,af,01/15/21
Lake Mead Hoover Dam and Powerplant,17907,af,01/16/21
Lake Mead Hoover Dam and Powerplant,20386,af,01/17/21
Lake Mead Hoover Dam and Powerplant,20153.9,af,01/18/21
Lake Mead Hoover Dam and Powerplant,21812.2,af,01/19/21
Lake Mead Hoover Dam and Powerplant,21298.8,af,01/20/21
Lake Mead Hoover Dam and Powerplant,18929.7,af,01/21/21
Lake Mead Hoover Dam and Powerplant,21437.9,af,01/22/21
Lake Mead Hoover Dam and Powerplant,18784,af,01/23/21
Lake Mead Hoover Dam and Powerplant,21310.1,af,01/24/21
Lake Mead Hoover Dam and Powerplant,23761.1,af,01/25/21
Lake Mead Hoover Dam and Powerplant,22369,af,01/26/21
Lake Mead Hoover Dam and Powerplant,21651.8,af,01/27/21
Lake Mead Hoover Dam and Powerplant,18314.9,af,01/28/21
Lake Mead Hoover Dam and Powerplant,19456,af,01/29/21
Lake Mead Hoover Dam and Powerplant,17994.9,af,01/30/21
Lake Mead Hoover Dam and Powerplant,20012.9,af,01/31/21
Lake Mead Hoover Dam and Powerplant,12097.9,af,02/01/21
Lake Mead Hoover Dam and Powerplant,10573.2,af,02/02/21
Lake Mead Hoover Dam and Powerplant,11782,af,02/03/21
Lake Mead Hoover Dam and Powerplant,12487.5,af,02/04/21
Lake Mead Hoover Dam and Powerplant,11907.9,af,02/05/21
Lake Mead Hoover Dam and Powerplant,9621.07,af,02/06/21
Lake Mead Hoover Dam and Powerplant,13025.2,af,02/07/21
