datetime,total release,storage
01/01/14,7835.79167,12348976.6
01/02/14,12772.5833,12341625.6
01/03/14,13675,12335193.4
01/04/14,13514.75,12334274.6
01/05/14,11101.7083,12336112.3
01/06/14,10412.0833,12344382.2
01/07/14,10863.75,12348057.8
01/08/14,9118.33333,12356327.7
01/09/14,7827,12366435.4
01/10/14,11155,12372876.3
01/11/14,7163.20833,12386692.5
01/12/14,7399.125,12399587.6
01/13/14,8215.79167,12408798.4
01/14/14,8089,12417092.2
01/15/14,7317,12427246.6
01/16/14,9301,12436477.8
01/17/14,9366,12444785.8
01/18/14,5927,12462327.4
01/19/14,5773,12478059.9
01/20/14,9031,12484538
01/21/14,12246,12486388.9
01/22/14,10770,12489165.2
01/23/14,12772,12491016.1
01/24/14,12041,12493792.4
01/25/14,8268.33333,12504897.7
01/26/14,4835.08333,12522523.9
01/27/14,13826.3333,12523452
01/28/14,13587.2917,12519739.6
01/29/14,11594.9583,12519739.6
01/30/14,10287.0417,12523452
01/31/14,9171.83333,12530877
02/01/14,9508.625,12542942.6
02/02/14,12832.125,12550367.5
02/03/14,16737.4583,12537373.8
02/04/14,16969.25,12525308.3
02/05/14,21189.1667,12503046.8
02/06/14,22420.2083,12481761.7
02/07/14,13990.625,12473432.7
02/08/14,10570.375,12478059.9
02/09/14,8865.16667,12485463.4
02/10/14,11247.9583,12487314.3
02/11/14,13662,12478985.4
02/12/14,10797.2917,12477134.5
02/13/14,9181.875,12483612.6
02/14/14,9278.66667,12487314.3
02/15/14,5379.5,12501195.9
02/16/14,5662.95833,12513242.7
02/17/14,10207.375,12515099
02/18/14,12107.0417,12511386.5
02/19/14,9508.625,12511386.5
02/20/14,13325.2083,12506748.6
02/21/14,14540.1667,12502121.4
02/22/14,17151.75,12491016.1
02/23/14,14812.375,12484538
02/24/14,15579.7083,12474358.2
02/25/14,12733.2083,12466029.2
02/26/14,12259.2917,12464178.3
02/27/14,13735.5,12461402
02/28/14,17277.875,12455863.3
03/01/14,15539.5,12437400.9
03/02/14,13500.5833,12439247.1
03/03/14,16628.4583,12429092.8
03/04/14,18967.4783,12405114.1
03/05/14,17984.5417,12388534.7
03/06/14,15903.4167,12370113.1
03/07/14,16928.8333,12357246.6
03/08/14,13365.4583,12348976.6
03/09/14,15699.75,12333355.7
03/10/14,17364.4167,12314080.4
03/11/14,17064.9583,12293911.7
03/12/14,16230.2083,12279243.5
03/13/14,15718.9167,12266437.4
03/14/14,15800.5417,12250893
03/15/14,15350.875,12239006
03/16/14,13799.0833,12226216.4
03/17/14,15848.0417,12214354.6
03/18/14,17646.7917,12196105.8
03/19/14,18214.5,12170595.9
03/20/14,21416.0417,12145110.9
03/21/14,22924.4167,12115124.8
03/22/14,16901.6667,12101498.8
03/23/14,18415.1667,12080639.8
03/24/14,21534.9583,12054358.3
03/25/14,19688.6667,12029023.5
03/26/14,21372.5833,12005506.5
03/27/14,19699.7083,11982040.5
03/28/14,24224.25,11951371.8
03/29/14,19585.9167,11929752.6
03/30/14,17662,11913540.3
03/31/14,18444.5,11888375.5
04/01/14,16402.4583,11868604.7
04/02/14,18411.125,11852453.3
04/03/14,17613,11830020.8
04/04/14,23729.125,11800461.2
04/05/14,15723.0417,11787925.6
04/06/14,17816.2917,11769141.2
04/07/14,20285.75,11747689.5
04/08/14,21191.125,11722688.3
04/09/14,22858.8333,11692361
04/10/14,22474.8333,11667431.8
04/11/14,21702.3333,11639852
04/12/14,12896.5417,11629197.7
04/13/14,11974.0417,11625646.2
04/14/14,21552.125,11595468.2
04/15/14,21184.1667,11571531.6
04/16/14,21485.625,11544959.8
04/17/14,24613.375,11508690.9
04/18/14,23174.5,11482194.3
04/19/14,18159.0833,11464538.6
04/20/14,18477.7083,11443383.1
04/21/14,21838.5833,11417832.2
04/22/14,19101.875,11404632.5
04/23/14,16671.75,11382633
04/24/14,15461.75,11370332.7
04/25/14,17004.5833,11351008.8
04/26/14,12770.5,11342225.2
04/27/14,14960.625,11329941.1
04/28/14,19080.7083,11313283
04/29/14,22441.5,11279038
04/30/14,20533.7917,11253518
05/01/14,14113.625,11240336
05/02/14,18701.6667,11220137.4
05/03/14,18150.9583,11197318.6
05/04/14,14892.0833,11185046.2
05/05/14,17670.0417,11164884.4
05/06/14,15660.4167,11145631.6
05/07/14,14539.0903,11136008.8
05/08/14,16548.6667,11115892
05/09/14,13247.4167,11108908
05/10/14,15034.3333,11097559
05/11/14,10658.125,11086210
05/12/14,16505.375,11071373.8
05/13/14,18144,11046974.6
05/14/14,22016,11021722
05/15/14,20918.7917,10991286
05/16/14,23301.5,10961771.8
05/17/14,18711.7083,10944415.8
05/18/14,13743.625,10928822.6
05/19/14,15283.375,10913231
05/20/14,15964.8333,10894185.8
05/21/14,22834.6667,10867383.2
05/22/14,25173.9583,10831130
05/23/14,19730.0833,10807851
05/24/14,14822.5417,10795797
05/25/14,17162.8333,10774272
05/26/14,16666.7917,10755362.4
05/27/14,14646.0417,10740756
05/28/14,19389.25,10716721.8
05/29/14,22450.625,10687570.2
05/30/14,24330.0833,10655052
05/31/14,16298.5417,10638802
06/01/14,13997.7083,10626846
06/02/14,16472.1667,10610620
06/03/14,16403.5833,10589291.6
06/04/14,16825.125,10571395.4
