datetime,OPR_DT,OPR_HR,MW
2022-01-01 00:00:00-08:00,1/1/22,1,57.11475
2022-01-01 01:00:00-08:00,1/1/22,2,59.54397
2022-01-01 02:00:00-08:00,1/1/22,3,56.5536
2022-01-01 03:00:00-08:00,1/1/22,4,57.37142
2022-01-01 04:00:00-08:00,1/1/22,5,59.34718
2022-01-01 05:00:00-08:00,1/1/22,6,73.45707
2022-01-01 06:00:00-08:00,1/1/22,7,80.58362
2022-01-01 07:00:00-08:00,1/1/22,8,73.41756
2022-01-01 08:00:00-08:00,1/1/22,9,51.4256
2022-01-01 09:00:00-08:00,1/1/22,10,37.7742
2022-01-01 10:00:00-08:00,1/1/22,11,32.7693
2022-01-01 11:00:00-08:00,1/1/22,12,26.23261
2022-01-01 12:00:00-08:00,1/1/22,13,25.52454
2022-01-01 13:00:00-08:00,1/1/22,14,27.6006
2022-01-01 14:00:00-08:00,1/1/22,15,30.66906
2022-01-01 15:00:00-08:00,1/1/22,16,52.85287
2022-01-01 16:00:00-08:00,1/1/22,17,79.7325
2022-01-01 17:00:00-08:00,1/1/22,18,88.95442
2022-01-01 18:00:00-08:00,1/1/22,19,88.96255
2022-01-01 19:00:00-08:00,1/1/22,20,85.4055
2022-01-01 20:00:00-08:00,1/1/22,21,80.29306
2022-01-01 21:00:00-08:00,1/1/22,22,77.15872
2022-01-01 22:00:00-08:00,1/1/22,23,73.8772
2022-01-01 23:00:00-08:00,1/1/22,24,64.09019
2022-01-02 00:00:00-08:00,1/2/22,1,64.01535
2022-01-02 01:00:00-08:00,1/2/22,2,61.66849
2022-01-02 02:00:00-08:00,1/2/22,3,61.32315
2022-01-02 03:00:00-08:00,1/2/22,4,60.95463
2022-01-02 04:00:00-08:00,1/2/22,5,62.95759
2022-01-02 05:00:00-08:00,1/2/22,6,71.47368
2022-01-02 06:00:00-08:00,1/2/22,7,73.5451
2022-01-02 07:00:00-08:00,1/2/22,8,69.11139
2022-01-02 08:00:00-08:00,1/2/22,9,50.53256
2022-01-02 09:00:00-08:00,1/2/22,10,37.78227
2022-01-02 10:00:00-08:00,1/2/22,11,30.90932
2022-01-02 11:00:00-08:00,1/2/22,12,26.23363
2022-01-02 12:00:00-08:00,1/2/22,13,24.68001
2022-01-02 13:00:00-08:00,1/2/22,14,25.39718
2022-01-02 14:00:00-08:00,1/2/22,15,29.44642
2022-01-02 15:00:00-08:00,1/2/22,16,50.86939
2022-01-02 16:00:00-08:00,1/2/22,17,74.18695
2022-01-02 17:00:00-08:00,1/2/22,18,88.58119
2022-01-02 18:00:00-08:00,1/2/22,19,85.97229
2022-01-02 19:00:00-08:00,1/2/22,20,84.65745
2022-01-02 20:00:00-08:00,1/2/22,21,80.93183
2022-01-02 21:00:00-08:00,1/2/22,22,74.38736
2022-01-02 22:00:00-08:00,1/2/22,23,69.02426
2022-01-02 23:00:00-08:00,1/2/22,24,66.48871
2022-01-03 00:00:00-08:00,1/3/22,1,64.86687
2022-01-03 01:00:00-08:00,1/3/22,2,64.17055
2022-01-03 02:00:00-08:00,1/3/22,3,63.81596
2022-01-03 03:00:00-08:00,1/3/22,4,63.26414
2022-01-03 04:00:00-08:00,1/3/22,5,65.29651
2022-01-03 05:00:00-08:00,1/3/22,6,75.90283
2022-01-03 06:00:00-08:00,1/3/22,7,100.37823
2022-01-03 07:00:00-08:00,1/3/22,8,96.19937
2022-01-03 08:00:00-08:00,1/3/22,9,71.52451
2022-01-03 09:00:00-08:00,1/3/22,10,58.71709
2022-01-03 10:00:00-08:00,1/3/22,11,49.12361
2022-01-03 11:00:00-08:00,1/3/22,12,47.70781
2022-01-03 12:00:00-08:00,1/3/22,13,46.95622
2022-01-03 13:00:00-08:00,1/3/22,14,45.42399
2022-01-03 14:00:00-08:00,1/3/22,15,47.85465
2022-01-03 15:00:00-08:00,1/3/22,16,58.53107
2022-01-03 16:00:00-08:00,1/3/22,17,87.22309
2022-01-03 17:00:00-08:00,1/3/22,18,116.25968
2022-01-03 18:00:00-08:00,1/3/22,19,104.17626
2022-01-03 19:00:00-08:00,1/3/22,20,94.94888
2022-01-03 20:00:00-08:00,1/3/22,21,86.13713
2022-01-03 21:00:00-08:00,1/3/22,22,75.61179
2022-01-03 22:00:00-08:00,1/3/22,23,72.78779
2022-01-03 23:00:00-08:00,1/3/22,24,65.46188
2022-01-04 00:00:00-08:00,1/4/22,1,53.09213
2022-01-04 01:00:00-08:00,1/4/22,2,50.89428
2022-01-04 02:00:00-08:00,1/4/22,3,50.39062
2022-01-04 03:00:00-08:00,1/4/22,4,49.93012
2022-01-04 04:00:00-08:00,1/4/22,5,50.70654
2022-01-04 05:00:00-08:00,1/4/22,6,58.61136
2022-01-04 06:00:00-08:00,1/4/22,7,81.46525
2022-01-04 07:00:00-08:00,1/4/22,8,77.46073
2022-01-04 08:00:00-08:00,1/4/22,9,57.64088
2022-01-04 09:00:00-08:00,1/4/22,10,48.29328
2022-01-04 10:00:00-08:00,1/4/22,11,40.24025
2022-01-04 11:00:00-08:00,1/4/22,12,34.8546
2022-01-04 12:00:00-08:00,1/4/22,13,34.28456
2022-01-04 13:00:00-08:00,1/4/22,14,35.49125
2022-01-04 14:00:00-08:00,1/4/22,15,40.02793
2022-01-04 15:00:00-08:00,1/4/22,16,55.84607
2022-01-04 16:00:00-08:00,1/4/22,17,77.6089
2022-01-04 17:00:00-08:00,1/4/22,18,91.0416
2022-01-04 18:00:00-08:00,1/4/22,19,85.27765
2022-01-04 19:00:00-08:00,1/4/22,20,78.9095
2022-01-04 20:00:00-08:00,1/4/22,21,77.15445
2022-01-04 21:00:00-08:00,1/4/22,22,68.78388
2022-01-04 22:00:00-08:00,1/4/22,23,60.33151
2022-01-04 23:00:00-08:00,1/4/22,24,57.75597
2022-01-05 00:00:00-08:00,1/5/22,1,51.0483
2022-01-05 01:00:00-08:00,1/5/22,2,48.59119
2022-01-05 02:00:00-08:00,1/5/22,3,47.62238
2022-01-05 03:00:00-08:00,1/5/22,4,46.9859
2022-01-05 04:00:00-08:00,1/5/22,5,47.43262
2022-01-05 05:00:00-08:00,1/5/22,6,55.00362
2022-01-05 06:00:00-08:00,1/5/22,7,75.98966
2022-01-05 07:00:00-08:00,1/5/22,8,76.22998
2022-01-05 08:00:00-08:00,1/5/22,9,55.42685
2022-01-05 09:00:00-08:00,1/5/22,10,46.58559
2022-01-05 10:00:00-08:00,1/5/22,11,41.6357
2022-01-05 11:00:00-08:00,1/5/22,12,37.5861
