Year,Month,Day,Hour,LMP
2021,6,24,07:00:00+00:00,0
2021,6,24,08:00:00+00:00,-0.07892
2021,6,24,09:00:00+00:00,33.44121
2021,6,24,10:00:00+00:00,0
2021,6,24,11:00:00+00:00,32.50612
2021,6,24,12:00:00+00:00,34.4448
2021,6,24,13:00:00+00:00,-0.66964
2021,6,24,14:00:00+00:00,0
2021,6,24,15:00:00+00:00,28.39151
2021,6,24,16:00:00+00:00,-0.49121
2021,6,24,17:00:00+00:00,-0.56151
2021,6,24,18:00:00+00:00,0
2021,6,24,19:00:00+00:00,33.88505
2021,6,24,20:00:00+00:00,0
2021,6,24,21:00:00+00:00,27.7853
2021,6,24,22:00:00+00:00,26.8726
2021,6,24,23:00:00+00:00,-1.7972
2021,6,25,00:00:00+00:00,0
2021,6,25,01:00:00+00:00,0
2021,6,25,02:00:00+00:00,44.6101
2021,6,25,03:00:00+00:00,0
2021,6,25,04:00:00+00:00,0
2021,6,25,05:00:00+00:00,0
2021,6,25,06:00:00+00:00,37.24889
2021,6,25,07:00:00+00:00,0
2021,6,25,08:00:00+00:00,34.98922
2021,6,25,09:00:00+00:00,-0.55715
2021,6,25,10:00:00+00:00,36.43196
2021,6,25,11:00:00+00:00,34.84464
2021,6,25,12:00:00+00:00,0
2021,6,25,13:00:00+00:00,0
2021,6,25,14:00:00+00:00,0
2021,6,25,15:00:00+00:00,-1.74917
2021,6,25,16:00:00+00:00,0
2021,6,25,17:00:00+00:00,26.04183
2021,6,25,18:00:00+00:00,0
2021,6,25,19:00:00+00:00,-2.59628
2021,6,25,20:00:00+00:00,-2.85649
2021,6,25,21:00:00+00:00,36.01215
2021,6,25,22:00:00+00:00,-2.0749
2021,6,25,23:00:00+00:00,0
2021,6,26,00:00:00+00:00,34.96932
2021,6,26,01:00:00+00:00,-1.92643
2021,6,26,02:00:00+00:00,-1.38482
2021,6,26,03:00:00+00:00,0
2021,6,26,04:00:00+00:00,58.14667
2021,6,26,05:00:00+00:00,0
2021,6,26,06:00:00+00:00,36.55223
2021,6,26,07:00:00+00:00,0
2021,6,26,08:00:00+00:00,0
2021,6,26,09:00:00+00:00,0
2021,6,26,10:00:00+00:00,-0.38667
2021,6,26,11:00:00+00:00,0
2021,6,26,12:00:00+00:00,34.21414
2021,6,26,13:00:00+00:00,37.53138
2021,6,26,14:00:00+00:00,-1.6871
2021,6,26,15:00:00+00:00,-0.90646
2021,6,26,16:00:00+00:00,-1.27743
2021,6,26,17:00:00+00:00,0
2021,6,26,18:00:00+00:00,0
2021,6,26,19:00:00+00:00,25.4721
2021,6,26,20:00:00+00:00,0
2021,6,26,21:00:00+00:00,0
2021,6,26,22:00:00+00:00,36.86062
2021,6,26,23:00:00+00:00,37.31072
2021,6,27,00:00:00+00:00,-2.29041
2021,6,27,01:00:00+00:00,0
2021,6,27,02:00:00+00:00,64.61217
2021,6,27,03:00:00+00:00,0
2021,6,27,04:00:00+00:00,-1.09123
2021,6,27,05:00:00+00:00,52.33836
2021,6,27,06:00:00+00:00,-0.8963
2021,6,27,07:00:00+00:00,35.23501
2021,6,27,08:00:00+00:00,-0.36771
2021,6,27,09:00:00+00:00,0
2021,6,27,10:00:00+00:00,-0.96285
2021,6,27,11:00:00+00:00,33.44937
2021,6,27,12:00:00+00:00,33.91513
2021,6,27,13:00:00+00:00,-0.65393
2021,6,27,14:00:00+00:00,0
2021,6,27,15:00:00+00:00,0
2021,6,27,16:00:00+00:00,0
2021,6,27,17:00:00+00:00,0
2021,6,27,18:00:00+00:00,31.14368
2021,6,27,19:00:00+00:00,29.06748
2021,6,27,20:00:00+00:00,0
2021,6,27,21:00:00+00:00,40.80442
2021,6,27,22:00:00+00:00,38.12489
2021,6,27,23:00:00+00:00,0
2021,6,28,00:00:00+00:00,0
2021,6,28,01:00:00+00:00,0
2021,6,28,02:00:00+00:00,0
2021,6,28,03:00:00+00:00,-0.89128
2021,6,28,04:00:00+00:00,60.50276
2021,6,28,05:00:00+00:00,0
2021,6,28,06:00:00+00:00,45.66384
2021,6,28,07:00:00+00:00,0
2021,6,28,08:00:00+00:00,-0.45265
2021,6,28,09:00:00+00:00,0
2021,6,28,10:00:00+00:00,-0.1381
2021,6,28,11:00:00+00:00,-0.11224
2021,6,28,12:00:00+00:00,0
2021,6,28,13:00:00+00:00,0
2021,6,28,14:00:00+00:00,0
2021,6,28,15:00:00+00:00,-1.65891
2021,6,28,16:00:00+00:00,0
2021,6,28,17:00:00+00:00,0
2021,6,28,18:00:00+00:00,-2.37382
2021,6,28,19:00:00+00:00,42.54791
2021,6,28,20:00:00+00:00,0
2021,6,28,21:00:00+00:00,0
2021,6,28,22:00:00+00:00,78.94669
2021,6,28,23:00:00+00:00,0
2021,6,29,00:00:00+00:00,0
2021,6,29,01:00:00+00:00,0
2021,6,29,02:00:00+00:00,0
2021,6,29,03:00:00+00:00,-1.26842
2021,6,29,04:00:00+00:00,0
2021,6,29,05:00:00+00:00,0
2021,6,29,06:00:00+00:00,-0.00111
2021,6,29,07:00:00+00:00,0
2021,6,29,08:00:00+00:00,-7.19097
2021,6,29,09:00:00+00:00,-0.38011
2021,6,29,10:00:00+00:00,0
2021,6,29,11:00:00+00:00,0
2021,6,29,12:00:00+00:00,0
2021,6,29,13:00:00+00:00,-0.2845
2021,6,29,14:00:00+00:00,-0.91133
2021,6,29,15:00:00+00:00,38.61258
2021,6,29,16:00:00+00:00,40.4853
2021,6,29,17:00:00+00:00,0
2021,6,29,18:00:00+00:00,0
2021,6,29,19:00:00+00:00,-1.88651
2021,6,29,20:00:00+00:00,-2.23655
2021,6,29,21:00:00+00:00,50.27003
2021,6,29,22:00:00+00:00,53.73556
2021,6,29,23:00:00+00:00,52.82738
2021,6,30,00:00:00+00:00,0
2021,6,30,01:00:00+00:00,111.1202
2021,6,30,02:00:00+00:00,62.69378
2021,6,30,03:00:00+00:00,64.25135
2021,6,30,04:00:00+00:00,-1.19203
2021,6,30,05:00:00+00:00,0
2021,6,30,06:00:00+00:00,-2.42878
2021,6,30,07:00:00+00:00,44.1732
2021,6,30,08:00:00+00:00,0
2021,6,30,09:00:00+00:00,39.69778
2021,6,30,10:00:00+00:00,41.58358
2021,6,30,11:00:00+00:00,0.29881
2021,6,30,12:00:00+00:00,0.19744
2021,6,30,13:00:00+00:00,50.47243
2021,6,30,14:00:00+00:00,45.79304
2021,6,30,15:00:00+00:00,0
2021,6,30,16:00:00+00:00,41.29125
2021,6,30,17:00:00+00:00,-1.09693
2021,6,30,18:00:00+00:00,0
2021,6,30,19:00:00+00:00,-1.47061
2021,6,30,20:00:00+00:00,0
2021,6,30,21:00:00+00:00,0
2021,6,30,22:00:00+00:00,0
2021,6,30,23:00:00+00:00,42.69928
2021,7,1,00:00:00+00:00,48.48421
2021,7,1,01:00:00+00:00,51.74029
2021,7,1,02:00:00+00:00,8.8287
2021,7,1,03:00:00+00:00,0
2021,7,1,04:00:00+00:00,57.77966
2021,7,1,05:00:00+00:00,0
2021,7,1,06:00:00+00:00,47.34135
2021,7,1,07:00:00+00:00,40.38622
2021,7,1,08:00:00+00:00,-0.28285
2021,7,1,09:00:00+00:00,41.8732
2021,7,1,10:00:00+00:00,0
2021,7,1,11:00:00+00:00,-0.01158
2021,7,1,12:00:00+00:00,-0.29053
2021,7,1,13:00:00+00:00,0
2021,7,1,14:00:00+00:00,37.68122
2021,7,1,15:00:00+00:00,0
2021,7,1,16:00:00+00:00,23.99305
2021,7,1,17:00:00+00:00,0
2021,7,1,18:00:00+00:00,-1.18714
2021,7,1,19:00:00+00:00,-1.60052
2021,7,1,20:00:00+00:00,-1.61871
2021,7,1,21:00:00+00:00,40.06804
2021,7,1,22:00:00+00:00,0.49126
2021,7,1,23:00:00+00:00,45.06318
2021,7,2,00:00:00+00:00,-0.85565
2021,7,2,01:00:00+00:00,-0.47903
2021,7,2,02:00:00+00:00,-2.07297
2021,7,2,03:00:00+00:00,5.38555
2021,7,2,04:00:00+00:00,-0.75176
2021,7,2,05:00:00+00:00,0
2021,7,2,06:00:00+00:00,44.36401
2021,7,2,07:00:00+00:00,40.01392
2021,7,2,08:00:00+00:00,38.6882
2021,7,2,09:00:00+00:00,0
2021,7,2,10:00:00+00:00,38.27021
2021,7,2,11:00:00+00:00,-0.19874
2021,7,2,12:00:00+00:00,0
2021,7,2,13:00:00+00:00,-0.0987
2021,7,2,14:00:00+00:00,34.75754
2021,7,2,15:00:00+00:00,31.96254
2021,7,2,16:00:00+00:00,-1.00968
2021,7,2,17:00:00+00:00,27.58459
2021,7,2,18:00:00+00:00,0
2021,7,2,19:00:00+00:00,0
2021,7,2,20:00:00+00:00,50.87965
2021,7,2,21:00:00+00:00,55.55668
2021,7,2,22:00:00+00:00,0
2021,7,2,23:00:00+00:00,-0.89124
2021,7,3,00:00:00+00:00,1.73761
2021,7,3,01:00:00+00:00,-0.60984
2021,7,3,02:00:00+00:00,0
2021,7,3,03:00:00+00:00,63.90455
2021,7,3,04:00:00+00:00,54.18116
2021,7,3,05:00:00+00:00,51.28139
2021,7,3,06:00:00+00:00,43.05996
2021,7,3,07:00:00+00:00,0
2021,7,3,08:00:00+00:00,-0.08328
2021,7,3,09:00:00+00:00,36.71854
2021,7,3,10:00:00+00:00,43.61847
2021,7,3,11:00:00+00:00,0
2021,7,3,12:00:00+00:00,35.40274
2021,7,3,13:00:00+00:00,37.98753
2021,7,3,14:00:00+00:00,-0.09181
2021,7,3,15:00:00+00:00,0
2021,7,3,16:00:00+00:00,27.44974
2021,7,3,17:00:00+00:00,0
2021,7,3,18:00:00+00:00,-0.54074
2021,7,3,19:00:00+00:00,31.73465
2021,7,3,20:00:00+00:00,32.89174
2021,7,3,21:00:00+00:00,-1.25228
2021,7,3,22:00:00+00:00,0
2021,7,3,23:00:00+00:00,38.36235
2021,7,4,00:00:00+00:00,0
2021,7,4,01:00:00+00:00,35.32775
2021,7,4,02:00:00+00:00,51.31707
2021,7,4,03:00:00+00:00,0.33132
2021,7,4,04:00:00+00:00,0
2021,7,4,05:00:00+00:00,0
2021,7,4,06:00:00+00:00,42.74995
2021,7,4,07:00:00+00:00,0
2021,7,4,08:00:00+00:00,0.06533
2021,7,4,09:00:00+00:00,0
2021,7,4,10:00:00+00:00,36.30136
2021,7,4,11:00:00+00:00,34.73354
2021,7,4,12:00:00+00:00,34.79463
2021,7,4,13:00:00+00:00,0.25403
2021,7,4,14:00:00+00:00,0
2021,7,4,15:00:00+00:00,-0.21048
2021,7,4,16:00:00+00:00,13.06594
2021,7,4,17:00:00+00:00,11.86721
2021,7,4,18:00:00+00:00,-0.27296
2021,7,4,19:00:00+00:00,0
2021,7,4,20:00:00+00:00,0
2021,7,4,21:00:00+00:00,-0.57836
2021,7,4,22:00:00+00:00,24.13541
2021,7,4,23:00:00+00:00,0
2021,7,5,00:00:00+00:00,27.3851
2021,7,5,01:00:00+00:00,0
2021,7,5,02:00:00+00:00,49.27156
2021,7,5,03:00:00+00:00,0.4459
2021,7,5,04:00:00+00:00,37.46623
2021,7,5,05:00:00+00:00,35.83071
2021,7,5,06:00:00+00:00,0.24422
2021,7,5,07:00:00+00:00,36.14291
2021,7,5,08:00:00+00:00,33.95274
2021,7,5,09:00:00+00:00,0
