Location,Parameter,Result,Units,Timestep,Aggregation,Datetime (UTC),timeStep,resultType
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,13927.8,af,daily,sum,1/1/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,19706.9,af,daily,sum,1/2/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,19087.1,af,daily,sum,1/3/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,23367.9,af,daily,sum,1/4/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,22240,af,daily,sum,1/5/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,20015.9,af,daily,sum,1/6/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,19166.9,af,daily,sum,1/7/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,15765.2,af,daily,sum,1/8/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,15219.8,af,daily,sum,1/9/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,20056.9,af,daily,sum,1/10/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,18095,af,daily,sum,1/11/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,16285,af,daily,sum,1/12/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,17681.9,af,daily,sum,1/13/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,15969.1,af,daily,sum,1/14/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,17736,af,daily,sum,1/15/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,18170.2,af,daily,sum,1/16/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,21190.2,af,daily,sum,1/17/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,21923.1,af,daily,sum,1/18/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,24066,af,daily,sum,1/19/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,25756.8,af,daily,sum,1/20/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,22839,af,daily,sum,1/21/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,21875,af,daily,sum,1/22/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,17464,af,daily,sum,1/23/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,19963,af,daily,sum,1/24/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,20046.2,af,daily,sum,1/25/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,23760.1,af,daily,sum,1/26/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,24605,af,daily,sum,1/27/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,27484,af,daily,sum,1/28/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,24365.1,af,daily,sum,1/29/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,22546,af,daily,sum,1/30/2022 7:00,day,observed
Lake Mead Hoover Dam and Powerplant,Lake/Reservoir Release - Total,29149.9,af,daily,sum,1/31/2022 7:00,day,observed
