datetime,powell_inflow (cfs),powell storage (ac-ft),mead storage (ac-ft),mead outflow (cfs),net
1/1/2022,4582.83698,6702539.74,8918172.4,7021.91667,-2439.07969
1/2/2022,5215.8318,6693948.42,8915830,9935.58333,-4719.75153
1/3/2022,3087.97927,6679424.14,8918953.2,9623.08333,-6535.10406
1/4/2022,3460.44393,6665577.51,8917391.6,11781.3333,-8320.88937
1/5/2022,3059.10001,6650431.71,8915830,11212.6667,-8153.56669
1/6/2022,3082.82541,6635306.35,8918953.2,10091.3333,-7008.50789
1/7/2022,4540.34363,6622170.48,8920514.8,9663.33333,-5122.9897
1/8/2022,4832.2227,6611017.15,8929117.6,7948.29167,-3116.06897
1/9/2022,5166.80289,6602495.67,8938511.2,7673.29167,-2506.48878
1/10/2022,4238.07365,6588744,8942425.2,10112,-5873.92635
1/11/2022,4407.48242,6576316.7,8946339.2,9122.91667,-4715.43425
1/12/2022,4961.42545,6565209.37,8951036,8210.33333,-3248.90788
1/13/2022,3682.3801,6551503.96,8954950,8914.625,-5232.2449
1/14/2022,5874.63358,6541724.82,8965131.8,8051.08333,-2176.44975
1/15/2022,5592.85351,6531954.38,8967485.6,8941.91667,-3349.06316
1/16/2022,4665.35965,6522192.63,8974547,9160.79167,-4495.43202
1/17/2022,3939.87489,6509190.49,8975331.6,10683.4167,-6743.54181
1/18/2022,3752.60683,6495554.89,8976900.8,11052.875,-7300.26817
1/19/2022,3846.82765,6481936.33,8972977.8,12133.25,-8286.42235
1/20/2022,4164.38727,6468334.82,8969054.8,12985.7083,-8821.32103
1/21/2022,5054.0459,6456043.37,8971408.6,11514.6667,-6460.6208
1/22/2022,5010.8276,6445057.59,8970624,11028.6667,-6017.8391
1/23/2022,3769.38338,6433437.76,8976900.8,8804.79167,-5035.40829
1/24/2022,4428.4107,6420541.52,8979254.6,10064.6667,-5636.256
1/25/2022,7438.61919,6413455.18,8983177.6,10106.625,-2668.00581
1/26/2022,4114.0617,6399939.7,8982393,11979.0417,-7864.98
1/27/2022,5359.91511,6389011.09,8981608.4,12405,-7045.08489
1/28/2022,3481.62975,6374243.09,8974547,13856.5417,-10374.91195
1/29/2022,3789.22715,6361417.97,8972977.8,12284.0833,-8494.85615
1/30/2022,3791.67315,6349888.58,8973762.4,11366.9583,-7575.28515
1/31/2022,3336.82694,6335174.8,8969839.4,14696.4167,-11359.58976
2/1/2022,4022.75268,6324312.55,8968270.2,10511.7083,-6488.95562
2/2/2022,3977.64837,6313461.46,8965916.4,10798.6667,-6821.01833
2/3/2022,3357.61328,6300709.78,8964347.2,12485.0417,-9127.42842
2/4/2022,4266.58205,6289883,8960429.6,11569.0833,-7302.50125
2/5/2022,2924.46621,6277159.92,8961995.2,10009.75,-7085.28379
2/6/2022,3123.95103,6265722.36,8962778,9927,-6803.04897
2/7/2022,4978.37147,6256835.14,8965916.4,9244.33333,-4265.96186
2/8/2022,4141.57951,6246687.6,8969054.8,8584.95833,-4443.37882
2/9/2022,5079.39366,6238450,8969839.4,9240.375,-4160.98134
2/10/2022,3668.13123,6227687.61,8967485.6,11284.3333,-7616.20207
2/11/2022,4294.83444,6217989.95,8967485.6,10137.1667,-5842.33226
2/12/2022,4311.61123,6208301.37,8972193.2,7818.625,-3507.01377
2/13/2022,4206.59632,6198621.87,8976900.8,7936.625,-3730.02868
2/14/2022,4282.17743,6188531.22,8975331.6,9998.625,-5716.44757
2/15/2022,3451.28292,6176561.42,8977685.4,9347.70833,-5896.42541
2/16/2022,4763.47491,6167121.43,8976900.8,11105.7917,-6342.31679
2/17/2022,4724.67252,6157690.14,8974547,11738.625,-7013.95248
2/18/2022,3747.24902,6146384.07,8970624,11927.4167,-8180.16768
2/19/2022,5016.8883,6138226.37,8969054.8,10684.3333,-5667.445
2/20/2022,4805.62362,6130075.19,8966701,10516.4583,-5710.83468
2/21/2022,4225.48376,6120051.94,8965916.4,10765.9583,-6540.47454
2/22/2022,5047.41657,6111289.72,8961995.2,11222.25,-6174.83343
2/23/2022,4276.59032,6100035.13,8955732.8,14755,-10478.40968
2/24/2022,3708.10581,6087544.72,8948687.6,12213.875,-8505.76919
2/25/2022,5026.03362,6078498.84,8940859.6,13611,-8584.96638
2/26/2022,4855.25826,6069461.09,8941642.4,10783.0833,-5927.82504
2/27/2022,5135.90032,6061365.18,8947904.8,9080.04167,-3944.14135
2/28/2022,2855.03604,6048300.98,8945556.4,10374.75,-7519.71396
3/1/2022,3739.27049,6037737.68,8937728.4,12962.6667,-9223.39621
3/2/2022,3859.72485,6027185.55,8928334.8,15222.375,-11362.65015
3/3/2022,4190.14545,6017264.34,8917391.6,16136.75,-11946.60455
3/4/2022,3464.30463,6006114.8,8905679.6,14836.625,-11372.32037
3/5/2022,6185.40312,5999926.03,8892406,14885.0833,-8699.68018
3/6/2022,3225.10558,5988795.97,8886940.4,14211.9583,-10986.85272
3/7/2022,4787.51119,5980147.92,8872910,16615.75,-11828.23881
3/8/2022,4785.04261,5971507.44,8862001.2,15061,-10275.95739
3/9/2022,7409.70608,5967190.04,8845638,17651.3333,-10241.62722
3/10/2022,4898.5924,5958560.92,8828535.2,19612.0417,-14713.4493
3/11/2022,5046.09301,5949939.39,8812987.2,16063.875,-11017.78199
3/12/2022,6252.1263,5943785.78,8802115.6,14682.875,-8430.7487
3/13/2022,5983.5677,5937636.04,8795137,14550.75,-8567.1823
3/14/2022,6246.0091,5931490.17,8780404.4,17035.25,-10789.2409
3/15/2022,5712.1819,5924120.22,8763355.2,16680.375,-10968.1931
3/16/2022,5170.8215,5916142.39,8752522,15019.0833,-9848.2618
3/17/2022,4512.46744,5906945.32,8733177,18743.8333,-14231.36586
3/18/2022,5125.46837,5898981.56,8719274.6,16600.25,-11474.78163
3/19/2022,5186.48754,5891024.33,8706925.8,16043.125,-10856.63746
3/20/2022,4794.08071,5883379.31,8702295,13815.625,-9021.54429
3/21/2022,5363.37554,5875740.32,8686098,16900.1667,-11536.79116
3/22/2022,5760.47416,5869023.02,8671468,16737.375,-10976.90084
3/23/2022,5216.36812,5861090.41,8654528,17976.0833,-12759.71518
3/24/2022,5386.63114,5853773.8,8633776.4,21231.5,-15844.86886
3/25/2022,6020.42579,5847680.87,8614566.4,19495.6667,-13475.24091
3/26/2022,5791.49219,5841591.81,8603068.4,16676.3333,-10884.84111
3/27/2022,6223.25957,5836723.35,8589273.2,16647.5417,-10424.28213
3/28/2022,5403.15169,5829425.29,8576244.4,17737.5833,-12334.43161
3/29/2022,6475.97854,5823955.4,8564009,15673.5,-9197.52146
3/30/2022,5768.2167,5817274.23,8550246.2,16372.8333,-10604.6166
3/31/2022,6871.618,5812418.13,8536485,17194.6667,-10323.0487
4/1/2022,7718.50506,5809991.01,8521225,18279.5417,-10561.03664
4/2/2022,7298.23833,5808777.68,8512069,15002,-7703.76167
4/3/2022,7395.78701,5807766.69,8502150,15818.125,-8422.33799
4/4/2022,8385.4686,5806755.81,8486922,17322.6667,-8937.1981
4/5/2022,8331.2627,5805745.04,8471702,16397.4167,-8066.154
4/6/2022,7615.98333,5803319.62,8450419.2,16952.5417,-9336.55837
4/7/2022,8222.87751,5802107.14,8430680,20166.625,-11943.74749
4/8/2022,8514.07118,5801500.96,8410212.2,19645.9167,-11131.84552
4/9/2022,9078.51808,5803925.91,8396579,15826.8333,-6748.31522
4/10/2022,6182.71939,5800894.82,8386732.8,14091.375,-7908.65561
4/11/2022,5598.03584,5794835.52,8362550,18053.7083,-12455.67246
4/12/2022,7975.36559,5793018.48,8348949.2,16887.1667,-8911.80111
4/13/2022,7675.70867,5790596.31,8329346.8,16755.4167,-9079.70803
4/14/2022,7320.47378,5787569.46,8307492,18992.5833,-11672.10952
4/15/2022,8008.10102,5785753.82,8293956,16437.3333,-8429.23228
4/16/2022,8074.61742,5785753.82,8281172,14594.125,-6519.50758
4/17/2022,7646.70659,5785148.68,8270647.6,14142.9583,-6496.25171
4/18/2022,6698.8837,5780913.8,8254893.4,16708.1667,-10009.283
4/19/2022,6635.97078,5776680.81,8231644.4,19622.6667,-12986.69592
4/20/2022,6643.17622,5772449.72,8212934.4,17515.7083,-10872.53208
4/21/2022,6716.72045,5768220.52,8191993.2,19405.875,-12689.15455
