2022 PF500,2023 PF500,2022 PF1000,2023 PF1000,2022 PF1300,2023 PF1300,2022 PF2000,2023 PF2000,2022 PF3000,2023 PF3000,2022 PF4000,2023 PF4000
1.8434878113909885e7,5.032930968596351e7,3.5979889342257194e7,7.20101077928212e7,3.923188677209164e7,7.798445517633733e7,4.035317149480766e7,7.94625008035127e7,4.0540261702228054e7,7.987178279864688e7,4.0540261702228054e7,7.987178279864688e7
1.4320641060986418e7,2.272786284794453e7,2.817343623192793e7,4.0931531678002514e7,3.156999243889002e7,4.565327405220838e7,3.3124995934996914e7,4.951453487723226e7,3.311600395205073e7,4.996415672654315e7,3.311600395205073e7,4.996415672654315e7
1.5375222442648439e7,2.424062940649291e7,3.0547745406844717e7,4.81575709748068e7,3.968041993430725e7,5.84596750448718e7,4.7043566108466245e7,6.001227351849868e7,4.743949005787532e7,6.012362824387581e7,4.743949005787532e7,6.012362824387581e7
2.005419092602533e7,1.831605207091578e7,3.956356372517402e7,3.604667456748173e7,5.15500750852876e7,4.697963476553849e7,6.6511640350242384e7,5.1471831144974306e7,6.647515871031987e7,5.11831196788647e7,6.647515871031987e7,5.11831196788647e7
2.14871735933002e7,6.748858956358288e6,4.287871584881152e7,1.3451857564500684e7,5.571157203807811e7,1.747560317860052e7,7.252459873261312e7,2.069253388339552e7,7.28495107900157e7,2.0762838819850344e7,7.28495107900157e7,2.0762838819850344e7
2.442369976245101e7,9.88467865914369e6,4.817618041610695e7,1.9446493033413526e7,6.276769730720321e7,2.535345272541686e7,7.81534126141215e7,3.1820123066746898e7,7.973960626292571e7,3.2037667987502664e7,7.973960626292571e7,3.2037667987502664e7
2.7717455511691198e7,2.6551158853115942e7,5.483818415751116e7,5.2395468168161236e7,7.141480891353102e7,6.829090061163233e7,8.380322449978372e7,8.424117314121245e7,8.522107544742733e7,8.810307091997717e7,8.522107544742733e7,8.810307091997717e7
3.787213960987178e7,2.7556911023828194e7,7.354487908529761e7,5.47589306556925e7,8.338377218153766e7,6.337728918982377e7,8.877314144928297e7,7.265553584601466e7,8.940497557952596e7,7.46734462458724e7,8.940497557952596e7,7.46734462458724e7
4.2053589753925405e7,1.3969709273288619e7,7.969174642180921e7,2.510785124294997e7,9.42376956840647e7,2.7838763823135693e7,1.1218370782316531e8,2.8812341812006902e7,1.1782194264965531e8,2.900155144590517e7,1.1782194264965531e8,2.900155144590517e7
2.303130325545383e7,2.0823380912862036e7,3.460087081969211e7,3.585070548809476e7,3.819253016500998e7,3.967439689106396e7,3.825838871886556e7,4.1006984370931275e7,3.825838871886556e7,4.106964112223519e7,3.825838871886556e7,4.106964112223519e7
2.9374312517068062e7,1.9004189225547135e7,5.817077680667323e7,3.440008813211942e7,6.867903583362707e7,3.698796519087165e7,7.192089051683037e7,3.773416721899099e7,7.203420352719036e7,3.774552223852806e7,7.203420352719036e7,3.774552223852806e7
9.319131104003537e7,1.6706708912203506e7,1.4770200582051226e8,2.1786278345305808e7,1.612298269192733e8,2.3509808350552347e7,1.653858736494879e8,2.3739517220565703e7,1.658246322862426e8,2.3739517220565703e7,1.658246322862426e8,2.3739517220565703e7
