x1,x2,x3,x4,x5
1.3288674174485116e9,1.327356545389614e9,1.324823681771453e9,1.3250283239120147e9,1.324510409365274e9
1.3288674174485116e9,1.328580493372279e9,1.3292899146765072e9,1.3298451086313252e9,1.3308568239758425e9
1.3288674174485116e9,1.3281025339905028e9,1.327832974371799e9,1.3297773557827744e9,1.331892600299029e9
1.3288674174485116e9,1.329234915123887e9,1.329199911298929e9,1.328624530982808e9,1.328843786272434e9
1.3288674174485116e9,1.3292527149961066e9,1.329949101194608e9,1.329922998154899e9,1.3302236432554967e9
1.3288674174485116e9,1.3282916665841415e9,1.3288628231527305e9,1.3301248851155355e9,1.331565679766449e9
1.3288674174485116e9,1.3307803910938847e9,1.3328566324074984e9,1.335445698307757e9,1.336963627051076e9
1.3288674174485116e9,1.3287970412229254e9,1.330243464898247e9,1.3316261864912827e9,1.3313214162423081e9
1.3288674174485116e9,1.3290144206521912e9,1.3271444815285702e9,1.3260276551608324e9,1.3253363606820683e9
1.3288674174485116e9,1.3273819373505082e9,1.326080538087108e9,1.3254797401871479e9,1.3251221177312007e9
1.3288674174485116e9,1.3286364559380171e9,1.3286763770734422e9,1.3294270113256266e9,1.3297126464926121e9
1.3288674174485116e9,1.326907834615795e9,1.3264274570983784e9,1.3255426232290304e9,1.3240589459005587e9
1.3288674174485116e9,1.3294279194204023e9,1.3305033362754512e9,1.3309645043142571e9,1.3313707409027946e9
1.3288674174485116e9,1.3277265413060498e9,1.3266007190084498e9,1.3257739412693052e9,1.3256158453130867e9
1.3288674174485116e9,1.3290466205210843e9,1.3295226175214736e9,1.3292468122817504e9,1.330937446395503e9
1.3288674174485116e9,1.3276529829769697e9,1.3268919578139687e9,1.3253812361314073e9,1.3252679556808858e9
1.3288674174485116e9,1.3306164056972787e9,1.33190014037819e9,1.3343431046571727e9,1.3356596189703357e9
1.3288674174485116e9,1.3285018498373952e9,1.3280636841570692e9,1.3269924689580684e9,1.3258889380963035e9
1.3288674174485116e9,1.3295488625095406e9,1.3302251584669194e9,1.3297289354794738e9,1.3308839597555206e9
1.3288674174485116e9,1.3270296810650227e9,1.3249817191260428e9,1.3239092608119528e9,1.3237522691314182e9
1.3288674174485116e9,1.3292578243412757e9,1.3288938720273619e9,1.331711073437679e9,1.3338283257949264e9
1.3288674174485116e9,1.3283205827654703e9,1.3279023700970738e9,1.3263514662515585e9,1.325395408388773e9
1.3288674174485116e9,1.3287590945451465e9,1.3281548325406613e9,1.327647471698445e9,1.3263744600608187e9
1.3288674174485116e9,1.3287169477832797e9,1.3288485086190293e9,1.3289766992232635e9,1.3285994179157603e9
1.3288674174485116e9,1.3299589934719584e9,1.3304935295529618e9,1.332230705352324e9,1.3331307875854805e9
1.3288674174485116e9,1.3290438025220714e9,1.328438292198372e9,1.3293935955828514e9,1.3302314673089314e9
1.3288674174485116e9,1.329111060088177e9,1.3288877063712943e9,1.3273944071131074e9,1.3280951367948167e9
