2022 PF500,2023 PF500,2022 PF1000,2023 PF1000,2022 PF1300,2023 PF1300,2022 PF2000,2023 PF2000,2022 PF3000,2023 PF3000,2022 PF4000,2023 PF4000
1.843493864690574e7,5.0329511752213575e7,3.598882981125535e7,7.195237881536087e7,3.915885556836978e7,7.785416206927483e7,4.03830984457182e7,7.956188894249764e7,4.0570421224110276e7,7.99724021103672e7,4.0570421224110276e7,7.99724021103672e7
1.4322885665645618e7,2.272794955130756e7,2.8181144888135638e7,4.09898456488963e7,3.165795033709336e7,4.58296095812964e7,3.3061640753248356e7,4.958194245653901e7,3.314749122914331e7,5.005993835925708e7,3.314749122914331e7,5.005993835925708e7
1.5398177343869297e7,2.426491675376806e7,3.0594811538334873e7,4.820877305176293e7,3.974313475955177e7,5.854645365184862e7,4.7274383269517735e7,6.00229709630157e7,4.7480101317247175e7,6.015995560396174e7,4.7480101317247175e7,6.015995560396174e7
2.0056567770656995e7,1.843920337502641e7,3.957062755891589e7,3.62978242665042e7,5.155876545957262e7,4.730301202508533e7,6.671478100834083e7,5.1912191573407054e7,6.675924235888667e7,5.1828353221805975e7,6.675924235888667e7,5.1828353221805975e7
2.149716711008855e7,7.23239840847174e6,4.2904183510867834e7,1.4426422516375678e7,5.5743118069772474e7,1.872051691593423e7,7.295320667866501e7,2.2127700498055644e7,7.328230710140547e7,2.2227469845703788e7,7.328230710140547e7,2.2227469845703788e7
2.4423808049871545e7,1.0003004278712695e7,4.818313998925755e7,1.9690549800296333e7,6.277497812985703e7,2.566825208240652e7,7.843556063116191e7,3.248485689379056e7,8.02125465734041e7,3.2695257750006326e7,8.02125465734041e7,3.2695257750006326e7
2.7717521291193616e7,2.6551204054908715e7,5.4841282044963285e7,5.24032691763204e7,7.141819711656255e7,6.829895442796732e7,8.402577756367977e7,8.456402432164925e7,8.562651256072794e7,8.867279889333817e7,8.562651256072794e7,8.867279889333817e7
3.787223373649746e7,2.7556958448626094e7,7.361072042859888e7,5.4781880049423575e7,8.349370718482028e7,6.3549694115104325e7,8.85943960257393e7,7.27131748220002e7,8.954750862061393e7,7.4933488863273e7,8.954750862061393e7,7.4933488863273e7
4.205371175570115e7,1.3969744278723886e7,7.97609060822799e7,2.513507227041173e7,9.419097925251713e7,2.7932461815297034e7,1.1224017313350667e8,2.8840185322215777e7,1.1789909670709224e8,2.903069778802502e7,1.1789909670709224e8,2.903069778802502e7
2.3031384329120345e7,2.0840264091848202e7,3.4632422963168435e7,3.5929956002759054e7,3.81429143756481e7,3.973483995046932e7,3.860212798636745e7,4.0666751151747e7,3.860212798636745e7,4.0666751151747e7,3.860212798636745e7,4.0666751151747e7
2.937442535008805e7,1.9039311484891027e7,5.817335637024977e7,3.457348198489655e7,6.884941190960841e7,3.708114154001982e7,7.206296326346767e7,3.775362771546541e7,7.240548644185443e7,3.7765685609963305e7,7.240548644185443e7,3.7765685609963305e7
9.319165717519611e7,1.6716662554136675e7,1.4774348035567066e8,2.1766148634063266e7,1.6192863338735658e8,2.3597493895709828e7,1.655914880295532e8,2.362135680109665e7,1.660462994170641e8,2.362135680109665e7,1.660462994170641e8,2.362135680109665e7
