Year,Month,Day,Hour,Minute,DHI,Clearsky DNI,Clearsky GHI,Clearsky DHI,GHI,DNI
2022,1,1,0,0,41,380,67,31,41,1
2022,1,1,0,30,0,0,0,0,0,0
2022,1,1,1,0,0,0,0,0,0,0
2022,1,1,1,30,0,0,0,0,0,0
2022,1,1,2,0,0,0,0,0,0,0
2022,1,1,2,30,0,0,0,0,0,0
2022,1,1,3,0,0,0,0,0,0,0
2022,1,1,3,30,0,0,0,0,0,0
2022,1,1,4,0,0,0,0,0,0,0
2022,1,1,4,30,0,0,0,0,0,0
2022,1,1,5,0,0,0,0,0,0,0
2022,1,1,5,30,0,0,0,0,0,0
2022,1,1,6,0,0,0,0,0,0,0
2022,1,1,6,30,0,0,0,0,0,0
2022,1,1,7,0,0,0,0,0,0,0
2022,1,1,7,30,0,0,0,0,0,0
2022,1,1,8,0,0,0,0,0,0,0
2022,1,1,8,30,0,0,0,0,0,0
2022,1,1,9,0,0,0,0,0,0,0
2022,1,1,9,30,0,0,0,0,0,0
2022,1,1,10,0,0,0,0,0,0,0
2022,1,1,10,30,0,0,0,0,0,0
2022,1,1,11,0,0,0,0,0,0,0
2022,1,1,11,30,0,0,0,0,0,0
2022,1,1,12,0,0,0,0,0,0,0
2022,1,1,12,30,0,0,0,0,0,0
2022,1,1,13,0,0,0,0,0,0,0
2022,1,1,13,30,0,0,0,0,0,0
2022,1,1,14,0,0,0,0,0,0,0
2022,1,1,14,30,0,0,0,0,0,0
2022,1,1,15,0,9,319,19,12,9,1
2022,1,1,15,30,57,609,92,26,57,7
2022,1,1,16,0,36,757,181,36,181,757
2022,1,1,16,30,127,847,269,42,228,379
2022,1,1,17,0,47,906,351,47,351,906
2022,1,1,17,30,50,946,424,50,424,946
2022,1,1,18,0,187,962,484,58,483,670
2022,1,1,18,30,60,981,530,60,530,981
2022,1,1,19,0,62,992,561,62,561,992
2022,1,1,19,30,62,998,576,62,576,998
2022,1,1,20,0,62,999,575,62,575,999
2022,1,1,20,30,61,993,558,61,558,993
2022,1,1,21,0,59,983,525,59,525,983
2022,1,1,21,30,57,963,477,57,477,963
2022,1,1,22,0,53,951,421,53,421,951
2022,1,1,22,30,49,909,347,49,347,909
2022,1,1,23,0,43,852,263,43,263,852
2022,1,1,23,30,36,738,169,36,169,738
2022,1,2,0,0,25,572,81,25,81,572
2022,1,2,0,30,0,0,0,0,0,0
2022,1,2,1,0,0,0,0,0,0,0
2022,1,2,1,30,0,0,0,0,0,0
2022,1,2,2,0,0,0,0,0,0,0
2022,1,2,2,30,0,0,0,0,0,0
2022,1,2,3,0,0,0,0,0,0,0
2022,1,2,3,30,0,0,0,0,0,0
2022,1,2,4,0,0,0,0,0,0,0
2022,1,2,4,30,0,0,0,0,0,0
2022,1,2,5,0,0,0,0,0,0,0
2022,1,2,5,30,0,0,0,0,0,0
2022,1,2,6,0,0,0,0,0,0,0
2022,1,2,6,30,0,0,0,0,0,0
2022,1,2,7,0,0,0,0,0,0,0
2022,1,2,7,30,0,0,0,0,0,0
2022,1,2,8,0,0,0,0,0,0,0
2022,1,2,8,30,0,0,0,0,0,0
2022,1,2,9,0,0,0,0,0,0,0
2022,1,2,9,30,0,0,0,0,0,0
2022,1,2,10,0,0,0,0,0,0,0
2022,1,2,10,30,0,0,0,0,0,0
2022,1,2,11,0,0,0,0,0,0,0
2022,1,2,11,30,0,0,0,0,0,0
2022,1,2,12,0,0,0,0,0,0,0
2022,1,2,12,30,0,0,0,0,0,0
2022,1,2,13,0,0,0,0,0,0,0
2022,1,2,13,30,0,0,0,0,0,0
2022,1,2,14,0,0,0,0,0,0,0
2022,1,2,14,30,0,0,0,0,0,0
2022,1,2,15,0,12,320,19,12,19,320
2022,1,2,15,30,26,608,92,26,92,608
2022,1,2,16,0,35,760,181,35,181,760
2022,1,2,16,30,42,850,270,42,270,850
2022,1,2,17,0,45,910,351,45,351,910
2022,1,2,17,30,48,949,423,48,423,949
2022,1,2,18,0,54,971,484,54,484,971
2022,1,2,18,30,56,989,530,56,530,989
2022,1,2,19,0,57,1001,561,57,561,1001
2022,1,2,19,30,57,1006,577,57,577,1006
2022,1,2,20,0,57,1006,576,57,576,1006
2022,1,2,20,30,57,1000,559,57,559,1000
2022,1,2,21,0,56,988,526,56,526,988
2022,1,2,21,30,54,969,479,54,479,969
2022,1,2,22,0,51,928,412,51,412,928
2022,1,2,22,30,47,887,339,47,339,887
2022,1,2,23,0,42,825,257,42,257,825
2022,1,2,23,30,36,728,169,36,169,728
2022,1,3,0,0,25,569,82,25,82,569
2022,1,3,0,30,0,0,0,0,0,0
2022,1,3,1,0,0,0,0,0,0,0
2022,1,3,1,30,0,0,0,0,0,0
2022,1,3,2,0,0,0,0,0,0,0
2022,1,3,2,30,0,0,0,0,0,0
2022,1,3,3,0,0,0,0,0,0,0
2022,1,3,3,30,0,0,0,0,0,0
2022,1,3,4,0,0,0,0,0,0,0
2022,1,3,4,30,0,0,0,0,0,0
2022,1,3,5,0,0,0,0,0,0,0
2022,1,3,5,30,0,0,0,0,0,0
2022,1,3,6,0,0,0,0,0,0,0
2022,1,3,6,30,0,0,0,0,0,0
2022,1,3,7,0,0,0,0,0,0,0
2022,1,3,7,30,0,0,0,0,0,0
2022,1,3,8,0,0,0,0,0,0,0
2022,1,3,8,30,0,0,0,0,0,0
2022,1,3,9,0,0,0,0,0,0,0
2022,1,3,9,30,0,0,0,0,0,0
2022,1,3,10,0,0,0,0,0,0,0
2022,1,3,10,30,0,0,0,0,0,0
2022,1,3,11,0,0,0,0,0,0,0
2022,1,3,11,30,0,0,0,0,0,0
2022,1,3,12,0,0,0,0,0,0,0
2022,1,3,12,30,0,0,0,0,0,0
2022,1,3,13,0,0,0,0,0,0,0
2022,1,3,13,30,0,0,0,0,0,0
2022,1,3,14,0,0,0,0,0,0,0
2022,1,3,14,30,0,0,0,0,0,0
2022,1,3,15,0,9,310,19,12,9,1
2022,1,3,15,30,59,603,92,26,64,47
2022,1,3,16,0,85,753,181,37,147,324
2022,1,3,16,30,115,844,270,43,212,363
2022,1,3,17,0,108,905,352,47,316,617
2022,1,3,17,30,124,945,424,50,392,677
2022,1,3,18,0,186,971,485,54,481,666
2022,1,3,18,30,56,990,531,56,531,990
2022,1,3,19,0,57,1001,563,57,563,1001
2022,1,3,19,30,57,1007,578,57,578,1007
2022,1,3,20,0,57,1007,578,57,578,1007
2022,1,3,20,30,57,1001,561,57,561,1001
2022,1,3,21,0,167,976,523,56,442,574
2022,1,3,21,30,181,957,476,54,380,452
2022,1,3,22,0,184,928,415,52,310,322
2022,1,3,22,30,107,887,343,48,334,682
2022,1,3,23,0,110,821,260,45,211,385
2022,1,3,23,30,93,724,172,37,103,49
2022,1,4,0,0,41,561,84,27,42,5
2022,1,4,0,30,0,0,0,0,0,0
2022,1,4,1,0,0,0,0,0,0,0
2022,1,4,1,30,0,0,0,0,0,0
2022,1,4,2,0,0,0,0,0,0,0
2022,1,4,2,30,0,0,0,0,0,0
2022,1,4,3,0,0,0,0,0,0,0
2022,1,4,3,30,0,0,0,0,0,0
2022,1,4,4,0,0,0,0,0,0,0
2022,1,4,4,30,0,0,0,0,0,0
2022,1,4,5,0,0,0,0,0,0,0
2022,1,4,5,30,0,0,0,0,0,0
2022,1,4,6,0,0,0,0,0,0,0
2022,1,4,6,30,0,0,0,0,0,0
2022,1,4,7,0,0,0,0,0,0,0
2022,1,4,7,30,0,0,0,0,0,0
2022,1,4,8,0,0,0,0,0,0,0
2022,1,4,8,30,0,0,0,0,0,0
2022,1,4,9,0,0,0,0,0,0,0
2022,1,4,9,30,0,0,0,0,0,0
2022,1,4,10,0,0,0,0,0,0,0
2022,1,4,10,30,0,0,0,0,0,0
2022,1,4,11,0,0,0,0,0,0,0
2022,1,4,11,30,0,0,0,0,0,0
2022,1,4,12,0,0,0,0,0,0,0
2022,1,4,12,30,0,0,0,0,0,0
2022,1,4,13,0,0,0,0,0,0,0
2022,1,4,13,30,0,0,0,0,0,0
2022,1,4,14,0,0,0,0,0,0,0
2022,1,4,14,30,0,0,0,0,0,0
2022,1,4,15,0,9,240,17,11,9,1
2022,1,4,15,30,56,531,85,28,59,33
2022,1,4,16,0,96,689,171,39,124,147
2022,1,4,16,30,127,785,257,46,217,333
2022,1,4,17,0,198,849,337,51,233,104
2022,1,4,17,30,170,892,408,55,388,549
2022,1,4,18,0,56,924,467,56,467,924
2022,1,4,18,30,58,943,513,58,513,943
2022,1,4,19,0,60,956,544,60,544,956
2022,1,4,19,30,60,956,556,60,556,956
2022,1,4,20,0,203,956,556,60,433,443
2022,1,4,20,30,141,950,540,60,524,758
2022,1,4,21,0,140,930,509,62,498,746
2022,1,4,21,30,60,910,463,60,463,910
2022,1,4,22,0,127,880,403,57,373,625
2022,1,4,22,30,53,836,332,53,332,836
2022,1,4,23,0,48,770,252,48,252,770
2022,1,4,23,30,40,666,165,40,165,666
2022,1,5,0,0,28,504,80,28,80,504
2022,1,5,0,30,11,201,14,11,14,201
2022,1,5,1,0,0,0,0,0,0,0
2022,1,5,1,30,0,0,0,0,0,0
2022,1,5,2,0,0,0,0,0,0,0
2022,1,5,2,30,0,0,0,0,0,0
2022,1,5,3,0,0,0,0,0,0,0
2022,1,5,3,30,0,0,0,0,0,0
2022,1,5,4,0,0,0,0,0,0,0
2022,1,5,4,30,0,0,0,0,0,0
2022,1,5,5,0,0,0,0,0,0,0
2022,1,5,5,30,0,0,0,0,0,0
2022,1,5,6,0,0,0,0,0,0,0
2022,1,5,6,30,0,0,0,0,0,0
2022,1,5,7,0,0,0,0,0,0,0
2022,1,5,7,30,0,0,0,0,0,0
2022,1,5,8,0,0,0,0,0,0,0
2022,1,5,8,30,0,0,0,0,0,0
2022,1,5,9,0,0,0,0,0,0,0
2022,1,5,9,30,0,0,0,0,0,0
2022,1,5,10,0,0,0,0,0,0,0
2022,1,5,10,30,0,0,0,0,0,0
2022,1,5,11,0,0,0,0,0,0,0
2022,1,5,11,30,0,0,0,0,0,0
2022,1,5,12,0,0,0,0,0,0,0
2022,1,5,12,30,0,0,0,0,0,0
2022,1,5,13,0,0,0,0,0,0,0
2022,1,5,13,30,0,0,0,0,0,0
2022,1,5,14,0,0,0,0,0,0,0
2022,1,5,14,30,0,0,0,0,0,0
2022,1,5,15,0,11,240,16,11,16,240
2022,1,5,15,30,27,529,84,27,84,529
2022,1,5,16,0,37,687,169,37,169,687
2022,1,5,16,30,44,782,255,44,255,782
2022,1,5,17,0,151,844,335,50,298,436
2022,1,5,17,30,53,886,405,53,405,886
2022,1,5,18,0,185,911,464,58,451,597
2022,1,5,18,30,60,931,509,60,509,931
2022,1,5,19,0,61,943,540,61,540,943
2022,1,5,19,30,171,945,553,61,471,576
2022,1,5,20,0,205,944,554,62,418,409
2022,1,5,20,30,211,938,538,62,421,413
2022,1,5,21,0,60,925,507,60,507,925
2022,1,5,21,30,187,905,461,58,442,573
2022,1,5,22,0,54,875,401,54,401,875
2022,1,5,22,30,164,833,330,50,184,61
2022,1,5,23,0,81,775,251,44,83,7
