INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2022-07-01T23:00:00-00:00,2022-07-02T00:00:00-00:00,2022-07-01,17,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,56.75444,1
2022-07-01T13:00:00-00:00,2022-07-01T14:00:00-00:00,2022-07-01,7,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,61.64732,1
2022-07-01T07:00:00-00:00,2022-07-01T08:00:00-00:00,2022-07-01,1,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,61.31934,1
2022-07-02T03:00:00-00:00,2022-07-02T04:00:00-00:00,2022-07-01,21,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,94.30551,1
2022-07-01T08:00:00-00:00,2022-07-01T09:00:00-00:00,2022-07-01,2,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,59.48312,1
2022-07-01T09:00:00-00:00,2022-07-01T10:00:00-00:00,2022-07-01,3,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,57.84622,1
2022-07-02T02:00:00-00:00,2022-07-02T03:00:00-00:00,2022-07-01,20,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,96.56831,1
2022-07-02T06:00:00-00:00,2022-07-02T07:00:00-00:00,2022-07-01,24,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,59.7353,1
2022-07-01T17:00:00-00:00,2022-07-01T18:00:00-00:00,2022-07-01,11,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,44.27284,1
2022-07-01T21:00:00-00:00,2022-07-01T22:00:00-00:00,2022-07-01,15,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,53.91201,1
2022-07-01T14:00:00-00:00,2022-07-01T15:00:00-00:00,2022-07-01,8,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,54.18292,1
2022-07-01T16:00:00-00:00,2022-07-01T17:00:00-00:00,2022-07-01,10,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,41.80784,1
2022-07-02T01:00:00-00:00,2022-07-02T02:00:00-00:00,2022-07-01,19,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,78.63979,1
2022-07-01T10:00:00-00:00,2022-07-01T11:00:00-00:00,2022-07-01,4,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,56.58144,1
2022-07-01T12:00:00-00:00,2022-07-01T13:00:00-00:00,2022-07-01,6,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,57.9693,1
2022-07-01T15:00:00-00:00,2022-07-01T16:00:00-00:00,2022-07-01,9,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,45.53511,1
2022-07-01T18:00:00-00:00,2022-07-01T19:00:00-00:00,2022-07-01,12,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,43.77691,1
2022-07-01T20:00:00-00:00,2022-07-01T21:00:00-00:00,2022-07-01,14,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,51.52617,1
2022-07-01T11:00:00-00:00,2022-07-01T12:00:00-00:00,2022-07-01,5,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,56.79991,1
2022-07-01T19:00:00-00:00,2022-07-01T20:00:00-00:00,2022-07-01,13,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,49.78678,1
2022-07-01T22:00:00-00:00,2022-07-01T23:00:00-00:00,2022-07-01,16,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,54.11601,1
2022-07-02T04:00:00-00:00,2022-07-02T05:00:00-00:00,2022-07-01,22,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,85.04733,1
2022-07-02T05:00:00-00:00,2022-07-02T06:00:00-00:00,2022-07-01,23,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,68.62143,1
2022-07-02T00:00:00-00:00,2022-07-02T01:00:00-00:00,2022-07-01,18,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,63.54808,1
2022-07-01T11:00:00-00:00,2022-07-01T12:00:00-00:00,2022-07-01,5,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,MCC,LMP_CONG_PRC,MEADS_2_N101,ALL,1,-2.16555,2
2022-07-01T23:00:00-00:00,2022-07-02T00:00:00-00:00,2022-07-01,17,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,MCC,LMP_CONG_PRC,MEADS_2_N101,ALL,1,-2.58261,2
2022-07-01T09:00:00-00:00,2022-07-01T10:00:00-00:00,2022-07-01,3,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,MCC,LMP_CONG_PRC,MEADS_2_N101,ALL,1,-2.82368,2
2022-07-01T13:00:00-00:00,2022-07-01T14:00:00-00:00,2022-07-01,7,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,MCC,LMP_CONG_PRC,MEADS_2_N101,ALL,1,-0.37134,2
2022-07-01T10:00:00-00:00,2022-07-01T11:00:00-00:00,2022-07-01,4,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,MCC,LMP_CONG_PRC,MEADS_2_N101,ALL,1,-1.63062,2
2022-07-01T07:00:00-00:00,2022-07-01T08:00:00-00:00,2022-07-01,1,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,MCC,LMP_CONG_PRC,MEADS_2_N101,ALL,1,-5.37022,2
2022-07-02T01:00:00-00:00,2022-07-02T02:00:00-00:00,2022-07-01,19,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,MCC,LMP_CONG_PRC,MEADS_2_N101,ALL,1,-0.36016,2
2022-07-01T21:00:00-00:00,2022-07-01T22:00:00-00:00,2022-07-01,15,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,MCC,LMP_CONG_PRC,MEADS_2_N101,ALL,1,-3.29522,2
2022-07-01T18:00:00-00:00,2022-07-01T19:00:00-00:00,2022-07-01,12,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,MCC,LMP_CONG_PRC,MEADS_2_N101,ALL,1,-8.4131,2
2022-07-01T16:00:00-00:00,2022-07-01T17:00:00-00:00,2022-07-01,10,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,MCC,LMP_CONG_PRC,MEADS_2_N101,ALL,1,-1.01712,2
2022-07-01T12:00:00-00:00,2022-07-01T13:00:00-00:00,2022-07-01,6,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,MCC,LMP_CONG_PRC,MEADS_2_N101,ALL,1,-5.05408,2
2022-07-02T06:00:00-00:00,2022-07-02T07:00:00-00:00,2022-07-01,24,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,MCC,LMP_CONG_PRC,MEADS_2_N101,ALL,1,-1.51284,2
2022-07-02T05:00:00-00:00,2022-07-02T06:00:00-00:00,2022-07-01,23,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,MCC,LMP_CONG_PRC,MEADS_2_N101,ALL,1,-0.83129,2
2022-07-02T04:00:00-00:00,2022-07-02T05:00:00-00:00,2022-07-01,22,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,MCC,LMP_CONG_PRC,MEADS_2_N101,ALL,1,0,2
2022-07-01T14:00:00-00:00,2022-07-01T15:00:00-00:00,2022-07-01,8,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,MCC,LMP_CONG_PRC,MEADS_2_N101,ALL,1,0,2
2022-07-02T03:00:00-00:00,2022-07-02T04:00:00-00:00,2022-07-01,21,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,MCC,LMP_CONG_PRC,MEADS_2_N101,ALL,1,0,2
2022-07-02T00:00:00-00:00,2022-07-02T01:00:00-00:00,2022-07-01,18,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,MCC,LMP_CONG_PRC,MEADS_2_N101,ALL,1,-1.30814,2
2022-07-02T02:00:00-00:00,2022-07-02T03:00:00-00:00,2022-07-01,20,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,MCC,LMP_CONG_PRC,MEADS_2_N101,ALL,1,0,2
2022-07-01T08:00:00-00:00,2022-07-01T09:00:00-00:00,2022-07-01,2,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,MCC,LMP_CONG_PRC,MEADS_2_N101,ALL,1,-2.30092,2
2022-07-01T22:00:00-00:00,2022-07-01T23:00:00-00:00,2022-07-01,16,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,MCC,LMP_CONG_PRC,MEADS_2_N101,ALL,1,-3.23899,2
2022-07-01T19:00:00-00:00,2022-07-01T20:00:00-00:00,2022-07-01,13,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,MCC,LMP_CONG_PRC,MEADS_2_N101,ALL,1,-3.7993,2
2022-07-01T17:00:00-00:00,2022-07-01T18:00:00-00:00,2022-07-01,11,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,MCC,LMP_CONG_PRC,MEADS_2_N101,ALL,1,-1.62826,2
2022-07-01T20:00:00-00:00,2022-07-01T21:00:00-00:00,2022-07-01,14,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,MCC,LMP_CONG_PRC,MEADS_2_N101,ALL,1,-3.19834,2
2022-07-01T15:00:00-00:00,2022-07-01T16:00:00-00:00,2022-07-01,9,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,MCC,LMP_CONG_PRC,MEADS_2_N101,ALL,1,0,2
2022-07-01T15:00:00-00:00,2022-07-01T16:00:00-00:00,2022-07-01,9,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,MCE,LMP_ENE_PRC,MEADS_2_N101,ALL,1,47.87122,3
2022-07-01T11:00:00-00:00,2022-07-01T12:00:00-00:00,2022-07-01,5,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,MCE,LMP_ENE_PRC,MEADS_2_N101,ALL,1,62.38411,3
2022-07-01T08:00:00-00:00,2022-07-01T09:00:00-00:00,2022-07-01,2,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,MCE,LMP_ENE_PRC,MEADS_2_N101,ALL,1,65.39378,3
2022-07-01T07:00:00-00:00,2022-07-01T08:00:00-00:00,2022-07-01,1,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,MCE,LMP_ENE_PRC,MEADS_2_N101,ALL,1,70.70564,3
