,datetime,OPR_DT,OPR_HR,MW
25338,2022-01-01 00:00:00-08:00,1/1/2022,1,57.11475
25339,2022-01-01 01:00:00-08:00,1/1/2022,2,59.54397
25331,2022-01-01 02:00:00-08:00,1/1/2022,3,56.5536
25328,2022-01-01 03:00:00-08:00,1/1/2022,4,57.37142
25320,2022-01-01 04:00:00-08:00,1/1/2022,5,59.34718
25343,2022-01-01 05:00:00-08:00,1/1/2022,6,73.45707
25341,2022-01-01 06:00:00-08:00,1/1/2022,7,80.58362
25325,2022-01-01 07:00:00-08:00,1/1/2022,8,73.41756
25342,2022-01-01 08:00:00-08:00,1/1/2022,9,51.4256
25332,2022-01-01 09:00:00-08:00,1/1/2022,10,37.7742
25327,2022-01-01 10:00:00-08:00,1/1/2022,11,32.7693
25333,2022-01-01 11:00:00-08:00,1/1/2022,12,26.23261
25334,2022-01-01 12:00:00-08:00,1/1/2022,13,25.52454
25322,2022-01-01 13:00:00-08:00,1/1/2022,14,27.6006
25323,2022-01-01 14:00:00-08:00,1/1/2022,15,30.66906
25335,2022-01-01 15:00:00-08:00,1/1/2022,16,52.85287
25336,2022-01-01 16:00:00-08:00,1/1/2022,17,79.7325
25326,2022-01-01 17:00:00-08:00,1/1/2022,18,88.95442
25340,2022-01-01 18:00:00-08:00,1/1/2022,19,88.96255
25324,2022-01-01 19:00:00-08:00,1/1/2022,20,85.4055
25337,2022-01-01 20:00:00-08:00,1/1/2022,21,80.29306
25329,2022-01-01 21:00:00-08:00,1/1/2022,22,77.15872
25321,2022-01-01 22:00:00-08:00,1/1/2022,23,73.8772
25330,2022-01-01 23:00:00-08:00,1/1/2022,24,64.09019
25452,2022-01-02 00:00:00-08:00,1/2/2022,1,64.01535
25461,2022-01-02 01:00:00-08:00,1/2/2022,2,61.66849
25447,2022-01-02 02:00:00-08:00,1/2/2022,3,61.32315
25450,2022-01-02 03:00:00-08:00,1/2/2022,4,60.95463
25457,2022-01-02 04:00:00-08:00,1/2/2022,5,62.95759
25441,2022-01-02 05:00:00-08:00,1/2/2022,6,71.47368
25444,2022-01-02 06:00:00-08:00,1/2/2022,7,73.5451
25458,2022-01-02 07:00:00-08:00,1/2/2022,8,69.11139
25459,2022-01-02 08:00:00-08:00,1/2/2022,9,50.53256
25451,2022-01-02 09:00:00-08:00,1/2/2022,10,37.78227
25440,2022-01-02 10:00:00-08:00,1/2/2022,11,30.90932
